CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Exited_Probability,Risk_Label
15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.81221235,High Risk
15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0.2562127,Low Risk
15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.69664,Medium Risk
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.6978109,Medium Risk
15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.20753147,Low Risk
15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.82686186,High Risk
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,0.7621903,High Risk
15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0.22962372,Low Risk
15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.44063166,Medium Risk
15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.006014726,Low Risk
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0.025072439,Low Risk
15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.010235995,Low Risk
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.81902754,High Risk
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,0.3755204,Medium Risk
15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0.096758544,Low Risk
15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0.3488957,Medium Risk
15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0.0036338195,Low Risk
15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,0.9573541,High Risk
15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.30731785,Medium Risk
15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0.47956344,Medium Risk
15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0.013534523,Low Risk
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.013478156,Low Risk
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.09711362,Low Risk
15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0.27055073,Low Risk
15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,0.004149961,Low Risk
15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.61991024,Medium Risk
15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.012739471,Low Risk
15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,0.0057635843,Low Risk
15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0.0013781112,Low Risk
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0.999691,High Risk
15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.48687518,Medium Risk
15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0.030191926,Low Risk
15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0.021974126,Low Risk
15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.01295283,Low Risk
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0.010752607,Low Risk
15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.14104712,Low Risk
15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.30007377,Medium Risk
15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.08937179,Low Risk
15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0.22512986,Low Risk
15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.0645402,Low Risk
15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.71076703,High Risk
15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.08286761,Low Risk
15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.062479578,Low Risk
15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.09135718,Low Risk
15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0.0043089273,Low Risk
15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.9163386,High Risk
15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.008801419,Low Risk
15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.99727696,High Risk
15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.010366757,Low Risk
15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.9995233,High Risk
15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.07270723,Low Risk
15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.2075886,Low Risk
15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.018095119,Low Risk
15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.022995522,Low Risk
15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0.044998877,Low Risk
15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0.02072872,Low Risk
15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.0051342743,Low Risk
15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.03312019,Low Risk
15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,0.0070147705,Low Risk
15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.51794136,Medium Risk
15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.20194808,Low Risk
15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0.050590176,Low Risk
15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.034042682,Low Risk
15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.028049635,Low Risk
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,0.75797874,High Risk
15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0.014083945,Low Risk
15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0.25697857,Low Risk
15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0.23215204,Low Risk
15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.8147433,High Risk
15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0.11465309,Low Risk
15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0.16654868,Low Risk
15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0.15585577,Low Risk
15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0.0729238,Low Risk
15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,0.7312682,High Risk
15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0.24599597,Low Risk
15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0.09803847,Low Risk
15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.13256627,Low Risk
15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0.9597966,High Risk
15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0.007593009,Low Risk
15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0.021951478,Low Risk
15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0.1449672,Low Risk
15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,0.13826855,Low Risk
15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0.1269879,Low Risk
15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,0.25504193,Low Risk
15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,0.8738327,High Risk
15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,0.943861,High Risk
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,0.98913246,High Risk
15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,0.07030832,Low Risk
15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0.036558893,Low Risk
15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,0.019162675,Low Risk
15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0.35220894,Medium Risk
15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0.053631663,Low Risk
15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,0.00072109466,Low Risk
15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0.24409603,Low Risk
15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0.11583718,Low Risk
15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0.013299275,Low Risk
15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0.13064232,Low Risk
15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0.96575904,High Risk
15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,0.7833926,High Risk
15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0.455648,Medium Risk
15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,0.007839261,Low Risk
15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0.054796804,Low Risk
15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,0.9631822,High Risk
15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0.7063518,High Risk
15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0.006420822,Low Risk
15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0.38110372,Medium Risk
15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0.08374447,Low Risk
15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0.32916686,Medium Risk
15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0,0.009832725,Low Risk
15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0.0119975,Low Risk
15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,0.97972465,High Risk
15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0.042666927,Low Risk
15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0.052427042,Low Risk
15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0,0.1794697,Low Risk
15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,0.96910816,High Risk
15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0,0.011651962,Low Risk
15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0.10456058,Low Risk
15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0.0023994448,Low Risk
15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0.79830194,High Risk
15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0.031081893,Low Risk
15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0,0.0671597,Low Risk
15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0.36837348,Medium Risk
15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0.1439552,Low Risk
15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,0.76139766,High Risk
15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0.07129007,Low Risk
15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0.3184803,Medium Risk
15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0.061821997,Low Risk
15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,0.31535524,Medium Risk
15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0.015548808,Low Risk
15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0.05459514,Low Risk
15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0.1136119,Low Risk
15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,0.99110574,High Risk
15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,0.1412995,Low Risk
15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0,0.025549052,Low Risk
15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,0.13682413,Low Risk
15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0,0.008984444,Low Risk
15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,0.045041285,Low Risk
15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0.03945085,Low Risk
15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,0.96586823,High Risk
15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,0.07055642,Low Risk
15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0,0.008889675,Low Risk
15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0.17527129,Low Risk
15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0,0.049492747,Low Risk
15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1,0.9463706,High Risk
15654506,Chang,514,France,Male,32,8,0.0,2,1,0,95857.18,0,0.027113026,Low Risk
15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0.38678598,Medium Risk
15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0.3726358,Medium Risk
15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0.005475482,Low Risk
15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0.20357825,Low Risk
15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,0.834221,High Risk
15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,0.19292143,Low Risk
15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0,0.05247446,Low Risk
15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,0.05874852,Low Risk
15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0.048517603,Low Risk
15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0,0.002424114,Low Risk
15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,0.13986954,Low Risk
15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0.17314999,Low Risk
15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0,0.009616435,Low Risk
15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,0.018686641,Low Risk
15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,0.00159512,Low Risk
15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0.09331333,Low Risk
15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,0.94157505,High Risk
15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,0.7580621,High Risk
15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,0.43510047,Medium Risk
15773039,Ku,550,France,Male,37,3,0.0,1,1,1,179670.31,0,0.23206057,Low Risk
15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,0.85650796,High Risk
15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0.0426126,Low Risk
15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1,0.8417632,High Risk
15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0.10904378,Low Risk
15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0.010376835,Low Risk
15624592,Tan,603,France,Male,31,8,0.0,2,1,1,169915.02,0,0.024234414,Low Risk
15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,88852.47,0,0.20072512,Low Risk
15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,0.08685745,Low Risk
15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,0.13859172,Low Risk
15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,0.902026,High Risk
15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0.71531737,High Risk
15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,0.032147363,Low Risk
15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,0.03910392,Low Risk
15774854,Fuller,592,France,Male,54,8,0.0,1,1,1,28737.71,1,0.86541826,High Risk
15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0.09448475,Low Risk
15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,0.065905854,Low Risk
15727829,McIntyre,567,France,Male,42,2,0.0,2,1,1,167984.61,0,0.0046226126,Low Risk
15733247,Stevenson,850,France,Male,33,10,0.0,1,1,0,4861.72,1,0.08021327,Low Risk
15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,0.8194298,High Risk
15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0.008983544,Low Risk
15774393,Ch'ien,694,France,Female,30,9,0.0,2,1,1,26960.31,0,0.038384087,Low Risk
15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,0.98675764,High Risk
15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,0.94823766,High Risk
15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,0.53285587,Medium Risk
15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19,0,0.00047105647,Low Risk
15627000,Freeman,610,France,Male,40,0,0.0,2,1,0,62232.6,0,0.023376228,Low Risk
15787174,Sergeyev,512,France,Female,37,1,0.0,2,0,1,156105.03,0,0.03099942,Low Risk
15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0.053961363,Low Risk
15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,0.16110408,Low Risk
15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,0.88574106,High Risk
15711540,Pacheco,712,France,Female,29,2,0.0,1,1,1,144375.0,0,0.23859937,Low Risk
15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,0.9981053,High Risk
15794056,Johnston,668,France,Female,46,2,0.0,3,1,0,89048.46,1,0.99660504,High Risk
15795149,Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16,0,0.025762748,Low Risk
15812009,Grant,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0,0.032428604,Low Risk
15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,0.64862937,Medium Risk
15813844,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,0.08805832,Low Risk
15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,0.25206423,Low Risk
15576269,Madison,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0,0.022616416,Low Risk
15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,0.9014257,High Risk
15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,0.043890595,Low Risk
15599792,Dimauro,545,France,Female,26,1,0.0,2,1,1,199638.56,0,0.0002714777,Low Risk
15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0.036825407,Low Risk
15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,0.95000386,High Risk
15628112,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,0.23596828,Low Risk
15753754,Morrison,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0,0.08392609,Low Risk
15793726,Matveyeva,681,France,Female,79,0,0.0,2,0,1,170968.99,0,0.00052802195,Low Risk
15694717,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,0.040508665,Low Risk
15665834,Cheatham,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,0.20084542,Low Risk
15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0,0.14244314,Low Risk
15636684,Kirkland,727,France,Male,34,10,0.0,2,1,1,198637.34,0,0.008286879,Low Risk
15592979,Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,0.0031403077,Low Risk
15750803,Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,0.22824438,Low Risk
15607178,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,0.009186699,Low Risk
15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,0.2818173,Low Risk
15673481,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,0.5769982,Medium Risk
15686776,Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44,0,0.19773924,Low Risk
15673693,Reppert,682,France,Female,26,0,110654.02,1,0,1,111879.21,0,0.074308954,Low Risk
15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,0.04791876,Low Risk
15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0,0.22864708,Low Risk
15653857,Wallis,498,France,Male,34,2,0.0,2,1,1,148528.24,0,0.0071622664,Low Risk
15777076,Clark,651,France,Male,36,7,0.0,2,1,0,13898.31,0,0.016504738,Low Risk
15717398,Fielding,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1,0.69378084,Medium Risk
15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0,0.04584048,Low Risk
15787071,Dulhunty,650,Spain,Male,41,9,0.0,2,0,1,191599.67,0,0.005608393,Low Risk
